,JUJKMU_C,JUJKMU_NM
0,11609.0,펌/가상
1,11614.0,시도금고 공금예금
2,11599.0,자산관리개발
3,11040.0,글로벌여신개발
4,11089.0,외환개발
5,11031.0,여신개발
6,10118.0,ICT기획
7,11612.0,시도금고 ETAX
8,11041.0,글로벌외환개발
9,11021.0,모바일채널개발
10,11596.0,BDA
11,11036.0,위험관리개발
12,11032.0,IB개발
13,10120.0,ICT감사
14,11043.0,글로벌정보개발
15,10128.0,시스템운영
16,11200.0,퇴직연금개발
17,11022.0,인터넷뱅킹개발
18,11204.0,글로벌AML개발
19,11038.0,글로벌공통개발
20,10127.0,ICT RM
21,11227.0,BDA (Big Data Architect)
22,11591.0,전산교육
23,11042.0,글로벌채널개발
24,11048.0,글로벌자금개발
25,11201.0,신탁개발
26,11605.0,모바일개발
27,11030.0,정기성개발
28,NaN,NaN
29,11598.0,BI
30,11613.0,시도금고 OCR/기관부수
31,11090.0,도급전담
32,11039.0,글로벌수신개발
33,11209.0,채널인프라
34,11027.0,유동성개발
35,11210.0,아키텍트
36,10992.0,보고서 설계/보고/개발업무지원
37,11600.0,고객경험관리개발
38,11203.0,지불결제개발
39,10965.0,본부운용지원(서무)
40,10131.0,ICT영업지원
41,11023.0,글로벌뱅킹개발
42,10770.0,금융개발부장
43,11208.0,DA
44,11597.0,컴플라이언스개발
45,11606.0,모바일뱅킹
46,11088.0,기관개발부장
47,11604.0,OpenAPI개발
48,11029.0,자산운영개발
49,11601.0,글로벌 AML개발
50,11616.0,법원코어
51,11615.0,시도금고 금고통합관리
52,10987.0,ICT운영/관리/도입지원
53,10955.0,총무(경리/예산집행)
54,11617.0,법원중계
55,10771.0,정보개발부장
56,11035.0,경영정보개발
57,11608.0,Pay결제
58,11607.0,금융공동망
59,10895.0,디지털개발부장
60,10124.0,품질관리
61,10772.0,글로벌개발부장
62,11028.0,자동이체개발
63,11218.0,ICT운영부장
64,10119.0,일반관리
65,11641.0,ICT감사
66,10961.0,본부운용지원(기타)
67,11618.0,공공기관
